Animal,Sex,DOB,MWM,InVivoMRI,ExVivoMRI,AgeatMWM,AgeExVivo,Weight,Genotype,DWI,GRE,Probe_d5,Probe_d8,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
190715_7:1,female,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,27.5,APOE22,N57496,N57497,18.01052275,18.42535606,69.258,54.124,45.038,57.585,36.218,37.426,61.559,130.01,139.23,136.67,146.45,137.3,71.491,71.764,458.47,191.57,87.129,117.17,191.24,298.04,196.23,87.124,99.968,192.33,243.87,103.47,136.84,111.85,142.2,98.149,226.39,186.84,217.5,203.18,168.81,138.81,320.35,170.83,154.52,221.4,141.27,472.39,103.44,139.33,87.669,77.609,40.645,26.707,107.68,43.647,429.23,23.253,239.51,139.49,158.41,66.062,691.28,110.02,188,195.99,33.85,239.02,90.797,329.69,222.88,129.27,45.781,76.795,145.04,47.163,54.211,222.05,79.66,25.243,42.014,48.954,75.018,99.477,38.511,66.495,293.15,218.25,47.729,18.163,171.55,48.504,37.034,38.519,344.99,55.792,554.78,53.364,32.954,32.546,55.428,36.611,30.402,54.013,101.36,69.538,34.268,40.191,36.137,131.96,55.185,57.11,99.224,17.667,73.807,95.367,65.629,97.122,64.893,119.45,106.68,141.75,45.122,87.977,155.41,119.71,526.46,50.866,27.087,83.265,84.153,25.488,93.969,30.523,43.032,18.05,32.631,56.618,125.03,77.505,96.727,66.156,31.477,55.123,19.414,91.727,135.45,44.405,60.491,143.19,66.752,54.465,214.43,154.69,45.905,22.396,59.698,50.226,80.476,43.983,22.568,34.097,52.626,38.979,24.215,38.997,41.892,70.996,64.405,38.042,21.348,64.462
190715_8:1,female,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,28.8,APOE22,N57500,N57501,17.06983101,16.2268552,65.013,37.446,48.355,61.749,34.253,36.716,73.203,134.06,119.82,127.59,131.86,132.41,70.255,107.95,507.06,198.26,77.398,136.42,194.37,254.39,181.51,75.164,120.41,222.38,228.05,93.467,124.61,107.71,128.22,132.91,208.66,187.69,221.41,193.39,139.35,139.44,276.19,145.48,105.43,184.42,107.91,423.01,95.029,175.53,107.34,100.92,39.748,31.868,98.204,32.825,445.49,25.084,201.66,131.34,135.43,67.826,669.03,79.26,196.76,215.78,31.744,271.34,79.904,353.6,230.76,140.89,44.333,85.79,153.92,44.082,64.724,223.63,73.039,27.654,43.293,57.389,71.477,109.02,37.666,67.575,327.82,254.98,45.317,18.625,186.84,42.18,37.133,35.728,342.81,44.283,580.85,52.428,36.672,28.637,43.604,35.398,32.772,49.938,100.17,66.126,30.929,37.398,37.539,153.32,45.191,54.065,107.73,20.354,96.357,102.68,58.344,79.979,56.561,105.63,99.716,150.34,43.082,91.043,156.89,122.37,593.04,50.005,28.841,75.833,95.651,34.257,89.211,31.112,38.663,25.033,38.808,62.06,141.46,66.907,103.55,65.647,32.843,35.7,28.16,104.86,136.09,46.92,66.56,139.59,70.533,55.437,258.14,129.45,58.417,22.634,61.915,44.209,77.129,40.461,29.255,32.476,51.303,29.374,29.893,36.529,52.137,66.132,59.313,34.199,21.097,66.583
191028_3:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,22.3,APOE22,N57694,N57695,19.26335763,18.90811275,58.147,38.419,57.161,100.16,41.124,35.673,81.201,154.93,125.1,182.64,183.27,128.09,67.718,94.277,477.95,167.58,72.675,149.46,206.76,275.99,147.27,92.105,172.44,191.81,221.29,93.137,144.12,132.88,144.92,131.82,229.94,142.15,203.02,200.57,181.2,138.94,196.3,184.04,142.2,192.66,83.193,381.88,110.39,138.33,73.918,88.151,37.914,29.512,116.9,38.34,441.88,29.335,175.76,121.43,125.08,54.644,585.93,96.965,158.65,183.08,36.688,224.81,81.179,334.47,242.5,136.51,44.07,86.203,140.49,39.342,46.026,190.03,67.701,22.928,39.304,46.636,65.326,94.038,34.558,60.718,269.22,200.19,47.561,17.752,162.7,35.007,37.307,32.78,273.42,39.661,458.55,55.083,35.614,37.799,46.427,33.064,38.23,51.42,94.696,67.743,32.824,45.209,44.707,136.19,35.557,52.194,88.411,27.105,70.683,72.995,53.471,107.21,71.096,102.43,97.825,125.5,41.299,73.878,133.82,107.49,517.46,40.823,27.18,111.18,82.463,26.673,92.637,25.31,41.146,16.266,33.583,48.816,112.04,59.852,93.283,53.947,28.914,34.085,23.171,92.169,101.38,33.998,70.072,121.61,57.106,60.367,190.04,137.22,42.091,28.329,38.88,48.501,80.912,35.758,24.7,26.925,43.567,25.715,19.216,29.783,45.867,67.393,51.168,28.552,21.176,73.621
191028_4:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,24,APOE22,N57702,N57703,22.37935424,21.97889651,56.162,38.291,59.954,79.182,38.04,51.758,77.464,235.73,121.91,161.76,182.59,131.25,96.649,130.13,442.86,238.91,116.48,146.41,205.52,282.72,144.88,135.24,69.897,203.58,236.12,87.837,149.9,144.76,234.1,78.951,271.55,190.42,206.94,168.18,170.84,139.92,318.51,172.32,124.37,217.15,140.18,418.21,81.2,137.93,84.42,99.097,40.275,49.966,97.416,45.085,463.25,32.545,165.16,107.24,146.97,46.227,670.79,74.266,181.97,212.73,34.321,214.83,88.665,362.03,237.37,130.44,48.63,93.973,146.27,47.434,51.56,212.71,75.017,31.734,36.846,55.148,74.555,100.52,39.711,64.87,277.88,218.41,50.923,19.063,168.32,36.487,31.047,30.3,288.35,37.936,525.71,65.27,40.139,22.255,47.86,42.976,26.811,50.426,85.286,69.399,35.299,38.099,32.631,146.73,39.131,49.861,97.607,19.966,81.211,91.711,58.36,86.392,70.179,111.14,98.433,158.29,51.24,74.828,184.07,134.92,552.98,47.538,36.339,101.97,93.622,21.026,104.73,34.216,43.591,21.062,34.008,52.811,123.46,68.193,97.348,62.378,37.837,40.437,22.242,103.89,124.54,40.138,65.813,120.07,78.183,59.742,204.32,152.02,44.054,26.435,48.836,53.789,86.36,37.637,21.892,29.939,53.079,31.757,18.278,32.026,62.583,73.476,68.459,30.468,24.656,71.82
191028_5:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,22.5,APOE22,N57709,N57710,21.73886628,21.96701118,64.949,41.808,61.608,81.635,35.749,36.061,70.837,142.24,93.167,157.29,154.68,139.17,69.768,102.37,527.8,219.31,90.638,142.95,184.63,260.6,154.33,128.9,112.21,191.63,260.13,99.706,134.41,109.26,162.18,144.04,227.77,186.51,218.38,164.14,179.85,162.02,265.56,195.6,128.65,167.6,163.16,359.87,134.77,184.62,130.16,143.88,42.095,39.4,115.64,44.448,432.41,25.797,176.68,115.32,152.58,55.168,674.49,104.04,189.68,259.85,32.875,238.21,86.978,371.88,217.89,169.9,45.839,93.714,146.85,42.684,55.956,221.81,73.444,27.047,35.099,56.933,67.909,109.38,41.559,62.196,323.92,202.95,42.966,19.099,173.89,33.016,38.034,40.333,282.22,40.381,514.99,70.115,41.62,34.569,44.319,34.77,31.099,47.445,95.21,65.939,31.032,32.722,31.53,152.59,43.113,56.926,93.851,22.392,99.183,58.145,50.803,94.144,71.24,124.27,85.476,147.39,40.566,79.366,160.48,129.47,558.4,59.836,26.899,68.311,87.862,31.5,92.644,34.654,36.565,24.554,36.643,42.215,115.58,73.836,105.09,55.108,32.089,38.013,21.09,94.449,113.56,38.967,62.183,116.17,62.137,56.586,194.39,151.94,39.979,23.686,50.194,44.916,79.687,36.649,42.52,30.856,39.796,30.972,17.757,30.097,65.166,65.58,52.854,29.616,31.833,72.416
190715_6:1,male,5/26/18,7/15/19,9/12/19,9/13/19,13.83,15.83,32.9,APOE22,N57498,N57499,18.74337815,17.72005208,58.882,53.386,52.477,60.541,48.725,65.922,85.235,204.52,142.77,137.84,163.32,139.74,66.372,119.28,497.09,212.16,93.716,54.188,214.3,307.28,178.03,57.289,71.363,100.4,262.03,103.7,178.84,132.78,205.79,75.254,139.39,196.94,267.87,200.85,96.497,135.47,256.77,165.31,129.31,229.53,137.74,458.7,88.769,139.41,84.642,100.39,50.262,33.144,111.25,52.368,514.33,34.845,229.47,130.64,147.01,62.026,767.8,88.364,201.04,234.21,33.321,232.45,89.718,417.68,297.78,135.27,52.493,129.28,174.05,46.47,63.244,224.7,78.225,27.529,45.813,56.531,75.826,89.511,47.162,68.457,349.02,263.69,57.534,15.901,181.32,32.845,33.077,32.765,338.5,41.045,503.93,57.241,34.188,27.824,55.683,35.6,31.166,47.881,107.65,75.608,29.833,30.28,35.487,130.15,45.314,50.693,83.833,23.096,80.806,90.072,58.518,90.511,71.883,108.08,100.91,132.74,46.758,94.11,181.86,142.99,677.51,51.155,35.369,117.75,102.4,26.727,96.884,34.786,48.886,20.631,30.734,60.528,132.1,97.423,109.55,88.62,39.289,40.896,20.686,99.705,99.918,54.764,74.01,148.89,66.17,61.914,256.72,123.93,44.226,24.777,70.531,43.272,77.244,34.76,30.646,40.298,47.878,31.071,18.724,39.9,66.686,68.006,68.56,36.379,19.509,69.943
190715_9:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,29.3,APOE22,N57502,N57503,17.34081223,16.62564396,62.297,52.574,50.327,93.637,42.68,35.224,67.01,156.12,141.23,157.37,194.78,135.27,72.849,126.45,479.85,182.61,85.836,120.04,168.42,240.48,192.37,148.25,100.35,257.08,209.61,88.09,113.91,189.29,204.42,165.01,269.52,222.73,254.4,154.13,236.86,144.29,349.35,179.64,120.18,251.05,148.64,409.33,107.55,114.35,94.085,106.66,33.129,31.587,86.143,39.58,449.43,29.273,168.41,153.66,98.391,62.631,822.71,108.26,189.85,194.03,28.76,268.67,70.837,367.87,214.69,147.43,46.6,103.27,166.65,46.898,65.888,207.36,70.817,30.917,39.388,54.922,65.514,105.61,39.79,66.967,283.68,233.54,50.946,24.711,182.13,34.334,31.76,38.631,371.09,46.65,571.5,55.163,34.464,35.738,51.378,39.792,41.573,56.757,102.03,71.638,33.087,32.21,28.14,134.99,39.217,44.363,88.153,25.288,94.565,114.91,53.104,82.501,65.667,120.9,110.5,144.36,46.247,82.523,152.07,139.49,571.55,53.332,34.989,76.108,87.458,24.859,86.797,31.535,52.592,18.605,30.617,61.21,130.18,79,92.979,81.963,39.137,42.552,29.196,93.116,119.78,51.745,73.165,149,60.766,63.965,256.35,145.23,41.447,21.214,80.5,42.414,91.275,36.122,26.589,30.037,51.333,29.019,16.419,36.2,48.86,68.455,55.853,37.198,21.383,74.592
190715_10:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,32.3,APOE22,N57513,N57514,22.41614255,21.36000062,77.56,54.088,49.761,61.629,36.581,34.576,55.057,144.76,115.03,134.5,167.05,139.05,80.44,152.31,487.1,149.82,79.449,131.75,213.28,304.32,174.72,81.908,101.21,274.71,202.45,117.57,118.94,158.76,159.81,186.54,169.85,147.73,210.7,180.54,172.8,140.59,355.74,164.47,93.949,229.49,108.61,406.17,106.47,109.07,76.062,104.17,39.671,40.03,90.652,36.982,470.14,26.376,192.03,125.36,123.13,56.831,745.9,99.045,190.43,203.3,37.587,269.61,72.607,346.55,222.8,137.37,44.349,94.59,153.3,42.741,57.035,212.42,63.455,22.093,42.096,47.644,69.785,92.225,40.318,71.527,276.86,229.05,44.47,17.378,171.21,37.386,29.672,36.904,362.27,43.097,567.52,64.056,30.204,28.295,47.984,32.957,33.727,51.703,93.158,62.048,33.352,33.882,36.445,136.93,44.933,52.406,87.474,21.14,80.09,104.09,55.686,86.229,63.708,106.86,103.4,126.33,40.867,83.453,145.9,121.99,557.95,54.915,31.988,80.023,74.502,59.862,82.821,32.991,47.482,18.559,34.437,58.651,129.81,84.366,108.09,58.155,29.229,35.74,17.165,91.268,122.02,43.174,70.351,150.58,57.661,54.348,256.85,148.92,42.601,26.12,60.34,52.59,77.515,42.634,30.926,32.517,48.96,30.818,19.126,29.655,61.064,59.503,54.887,34.03,19.174,74.948
190715_5:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,32,APOE22,N57552,N57553,20.22717514,17.46487726,62.729,35.396,38.917,53.759,36.43,40.206,76.816,178.01,127.55,125.67,139.73,113.61,81.211,59.64,475.39,157.74,86.375,95.198,169.18,270.62,154.18,90.414,74.264,94.82,215.5,104.88,144.18,125.26,103.5,81.371,115.82,160.11,210.55,167.39,168.46,117.33,185.61,146.37,118.35,208.81,107.06,408.08,93.09,143.5,80.181,76.173,48.049,33.201,97.309,40.697,467.48,31.161,162.66,133.35,113.76,49.904,604.28,77.403,189.57,186.81,30.122,205.73,77.648,362.27,251.23,130.49,40.355,94.021,143.67,39.101,49.979,198.88,63.348,25.124,45.017,52.123,63.399,98.391,41.778,70.486,332.59,197.52,36.227,21.574,173.96,32.321,32.1,26.81,314.97,30.59,495.08,54.314,32.662,24.807,56.351,36.408,38.054,46.631,89.652,61.27,28.553,31.634,35.712,139.67,32.702,50.491,96.888,20.195,77.876,99.296,61.135,90.913,73.525,96.738,93.61,133.99,45.162,82.335,172.56,118.98,546.78,60.32,32.076,82.732,79.898,26.668,82.496,27.193,43.508,16.897,27.979,52.831,131.04,64.818,101.26,56.261,27.226,35.346,22.912,108.57,119.07,38.375,64.473,142.11,61.555,59.356,231.5,117.35,39.207,30.391,56.097,45.238,73.26,39.174,27.677,27.864,50.782,32.13,17.86,30.201,59.463,65.652,58.198,34.785,21.332,75.96
191028_7:1,male,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,28,APOE22,N57692,N57693,21.08230486,18.27800719,49.138,45.511,46.677,80.152,44.802,50.62,69.384,193.6,182.57,151.1,158.78,151.32,130.18,112.55,367.7,211.19,106.18,129.71,211.14,263.53,184.39,72.649,86.244,148.23,213.58,91.614,130.18,136.35,221.73,83.873,107.67,207.75,321.51,197.8,119.1,135.89,301.27,159.45,114.11,151.51,116.04,346.25,139.14,127.41,106.31,119.1,59.38,82.905,155.99,83.923,463.97,28.966,191.26,109.39,136.98,50.53,769.52,96.5,201.78,294.51,44.642,234.03,87.783,346.63,269.88,115.91,39.54,75.419,167.66,40.189,55.801,217.12,97.557,29.851,49.501,53.624,57.118,103.13,41.732,70.846,354.31,253.28,70.412,19.011,188.23,31.509,27.294,33.803,298.71,33.316,428.42,62.095,43.041,37.072,58.192,46.592,33.375,48.459,112.47,81.479,31.869,33.875,31.424,131.28,43.917,60.639,88.399,20.549,89.563,76.819,64.576,114.36,79.777,138.45,88.916,153.5,65.068,110.99,188.8,106.51,626.94,51.679,56.098,81.695,111.86,20.017,95.007,26.96,50.476,29.879,38.863,66.864,128.89,79.745,119.66,74.464,51.641,46.75,27.177,132.13,104.06,51.641,69.411,122.57,69.392,73.102,221.72,145.09,77.817,31.767,54.242,54.082,79.334,29.122,28.753,38.951,42.317,30.798,16.861,36.163,69.781,87.521,73.322,39.242,29.241,81.476
