Animal,Sex,DOB,MWM,InVivoMRI,ExVivoMRI,AgeatMWM,AgeExVivo,Weight,Genotype,DWI,GRE,Probe_d5,Probe_d8,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
190715_7:1,female,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,27.5,APOE22,N57496,N57497,18.01052275,18.42535606,18981,4064,4692,7289,4656,4779,11445,55477,63083,45959,65371,64414,16261,12857,4.51E+05,1.29E+05,24125,7003,1.30E+05,2.33E+05,77790,7616,2400,33615,1.99E+05,35731,78095,60501,66378,3923,23066,1.15E+05,1.53E+05,1.04E+05,12292,48627,1.99E+05,62585,60056,1.03E+05,56893,4.40E+05,39779,1.10E+05,31199,29935,3824,2161,43806,6283,3.52E+05,883,1.26E+05,64836,80497,12342,8.26E+05,13798,1.09E+05,1.14E+05,3734,1.31E+05,26557,1.98E+05,1.63E+05,47377,6510,21104,61392,9988,9147,1.06E+05,22556,1648,4859,10031,17000,33404,5098,16514,1.77E+05,1.15E+05,7650,546,68159,7440,4398,3695,2.33E+05,9967,5.20E+05,12628,5776,932,12101,4100,2946,8709,46120,18109,2461,1868,861,77117,10116,11875,26450,835,26761,32696,14037,41919,21602,91342,46214,68216,8551,25231,75490,42460,3.96E+05,9080,2130,26406,51133,1001,25252,1992,6485,622,3671,16222,45127,22481,60349,13154,1186,6580,482,31528,67999,7222,15571,90778,16495,15656,2.15E+05,65582,7449,729,13819,10829,20073,5923,1339,4136,9636,3537,1324,5173,6196,18608,12911,3413,1106,13695
190715_8:1,female,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,28.8,APOE22,N57500,N57501,17.06983101,16.2268552,14989,3872,3881,9719,5391,4293,15213,56465,52798,58096,68264,59575,19020,12210,5.20E+05,1.38E+05,23186,5981,1.24E+05,2.24E+05,67770,7318,3599,33952,1.95E+05,35197,60703,48742,65754,5980,19309,1.15E+05,1.75E+05,1.11E+05,12656,61701,1.93E+05,72233,40843,86351,36384,3.68E+05,43481,1.36E+05,42794,39671,5480,2310,35457,4385,3.56E+05,1328,1.09E+05,63050,65845,13134,7.81E+05,14566,99415,1.20E+05,2664,1.43E+05,22194,2.11E+05,1.55E+05,53198,6703,22789,61127,8218,14134,1.08E+05,20406,2026,6240,12306,16471,37373,4069,15915,2.02E+05,1.39E+05,7011,735,78960,5790,4335,3837,2.29E+05,6594,5.60E+05,11991,4012,398,10813,3292,4058,9258,43366,20087,1425,2352,739,80767,6951,11680,34170,685,35386,35203,13916,39249,16998,88399,39186,75894,9133,24425,71192,43807,4.73E+05,9277,2323,23733,76241,3313,21996,3746,5303,817,4600,16869,56960,19233,61454,15459,2393,3769,1918,37001,65351,8064,14688,98572,19343,15111,2.51E+05,49271,9830,704,13843,8488,18265,5097,1938,3094,9056,2521,2285,4255,8126,18720,11394,3624,730,13749
191028_3:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,22.3,APOE22,N57694,N57695,19.26335763,18.90811275,14227,3238,4807,9234,6096,4470,21374,71764,49410,58281,80395,58703,19384,13627,4.78E+05,1.48E+05,19474,6235,1.18E+05,2.53E+05,52475,8840,3809,25359,1.73E+05,37464,86844,65889,67077,4111,21003,88849,1.62E+05,1.23E+05,8843,43161,1.24E+05,71084,41943,1.05E+05,27531,3.29E+05,24200,97683,15902,26304,2588,3813,40594,8886,3.66E+05,1233,89762,49791,58031,8402,6.86E+05,11989,81917,98239,3767,1.18E+05,25140,2.10E+05,1.61E+05,55686,5341,29756,62070,7039,7549,86298,17743,1491,6572,9086,14733,27035,3927,15299,1.66E+05,1.08E+05,6369,698,67569,3753,4051,3332,1.72E+05,4104,4.57E+05,15804,6080,448,11976,3546,5001,8369,43147,19511,1413,888,811,70936,4189,9643,25451,2150,26168,20313,12261,44854,22043,56700,39371,73188,6456,22835,59100,39437,4.05E+05,6484,2581,37363,42425,1813,25579,2273,7275,308,3869,14299,40173,17828,55693,11507,2118,1800,684,37361,42585,4204,17380,76739,12613,15255,2.11E+05,56723,5409,724,8915,9092,22198,4486,1848,2331,7138,1664,573,2722,8271,19897,9204,2472,893,15880
191028_4:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,24,APOE22,N57702,N57703,22.37935424,21.97889651,13084,3999,3056,11235,4391,8855,16534,1.22E+05,43732,65152,69775,43423,11853,15554,4.70E+05,1.98E+05,30930,7025,1.38E+05,2.56E+05,53981,10953,1329,30063,1.89E+05,35924,79367,64435,70790,8573,21968,1.13E+05,1.33E+05,78435,10775,67809,1.99E+05,75223,40408,1.10E+05,55322,3.73E+05,27746,60783,15584,27609,3648,6206,40236,6876,3.78E+05,2038,77013,44806,51977,7039,7.27E+05,9698,94018,1.27E+05,3417,1.12E+05,27767,2.34E+05,1.45E+05,51176,7653,32616,59938,8463,8585,1.02E+05,21656,2689,3809,10035,18116,30343,4592,13216,1.71E+05,1.16E+05,8132,994,68297,4862,2904,2961,1.86E+05,4808,5.09E+05,20421,6541,250,10658,5518,1978,6076,43266,20094,1599,983,607,78043,6283,11859,31510,435,31217,31141,12193,37547,19371,73444,41792,83514,9793,20630,91278,55709,4.30E+05,9226,3751,32792,45582,574,29391,3833,6965,604,3713,12487,38217,20453,54747,12984,2870,4124,500,40185,52247,5616,16883,74847,20753,15483,2.21E+05,74557,6653,1502,10330,11447,20398,5466,810,2966,9669,2378,690,3603,11323,18764,14207,3249,1416,19266
191028_5:1,female,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,22.5,APOE22,N57709,N57710,21.73886628,21.96701118,16838,4705,4168,8247,4494,4629,13479,64462,34020,44136,74867,41690,16476,15259,5.27E+05,1.82E+05,27665,4454,1.31E+05,2.02E+05,59041,11891,2082,28506,2.20E+05,40314,72345,67144,62754,3469,17269,1.23E+05,1.37E+05,68816,12708,78535,1.65E+05,80857,50352,77131,71180,2.85E+05,49421,1.32E+05,51282,61049,4337,5978,38491,5396,3.64E+05,1305,84367,44739,62682,7947,7.38E+05,15863,93802,1.62E+05,3430,1.33E+05,26772,2.37E+05,1.43E+05,75466,7754,31239,60345,8107,12214,1.15E+05,19580,2761,5694,12348,15866,34423,7039,14949,1.94E+05,1.02E+05,6242,841,70100,4479,3747,4503,1.73E+05,6779,4.78E+05,23976,8650,291,9362,4090,3479,5596,43072,16774,1482,1286,1012,69550,7359,10246,28365,796,38291,13978,10524,43076,21863,67860,33063,94353,6302,21940,72163,50043,4.37E+05,12582,1880,18762,54051,2733,22952,5316,5810,1251,4745,10464,41120,27147,59167,9903,1543,3048,1627,39098,58448,5968,13943,65422,15126,12982,2.19E+05,64526,4938,1109,10927,10000,19309,5476,6764,2448,5932,2969,734,3671,13569,18085,10786,2549,2190,14853
190715_6:1,male,5/26/18,7/15/19,9/12/19,9/13/19,13.83,15.83,32.9,APOE22,N57498,N57499,18.74337815,17.72005208,12987,5357,5024,8927,7275,13641,18016,94489,48431,45083,70636,56140,20090,15912,4.33E+05,1.95E+05,29966,7562,1.49E+05,2.51E+05,64527,9377,3226,24970,2.03E+05,33331,93876,67784,66511,3713,17484,1.26E+05,1.67E+05,92696,13347,51777,1.54E+05,66984,44019,1.14E+05,44303,3.63E+05,30980,80943,19653,31049,5664,3248,45895,8441,3.99E+05,1482,1.11E+05,56034,80536,12855,8.22E+05,9143,1.01E+05,1.40E+05,3038,1.20E+05,24303,2.57E+05,2.07E+05,47777,7853,44509,73697,7212,11162,1.04E+05,20025,1988,7143,10489,17220,24579,5187,15244,2.01E+05,1.45E+05,10886,550,71880,3531,3569,2989,2.43E+05,5525,4.98E+05,14908,6097,245,17322,4246,2545,10026,54044,23430,3223,1116,1286,66401,5103,7928,24546,930,33498,28736,11411,44923,20312,83619,45713,77558,8998,28902,87648,56387,5.33E+05,9396,3626,37942,78150,906,25641,3739,8806,546,2201,17146,49127,33820,81520,23747,3309,2612,609,37785,40354,9389,18864,1.03E+05,16397,20959,2.64E+05,41794,5195,926,18080,8734,19059,3987,2170,5068,7261,2780,777,5769,11949,19850,13954,3756,786,12598
190715_9:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,29.3,APOE22,N57502,N57503,17.34081223,16.62564396,17375,3550,2955,7575,6225,4729,13758,69869,60275,61116,74907,56218,17923,17297,4.74E+05,1.54E+05,19547,3982,1.08E+05,2.09E+05,79147,8064,1733,27285,1.81E+05,35189,64085,55345,71656,5057,18062,1.06E+05,1.88E+05,79151,14459,61266,2.54E+05,75737,37117,1.33E+05,61308,3.70E+05,53288,71722,29455,44092,3754,4296,36868,7222,3.66E+05,1837,80578,76760,40180,13487,9.40E+05,20254,1.02E+05,1.11E+05,2127,1.38E+05,19785,2.16E+05,1.45E+05,54672,7323,32114,69876,8184,12868,94541,18926,3122,5151,12078,13083,31749,5060,15802,1.67E+05,1.24E+05,8921,910,68229,4125,2854,3477,2.47E+05,7125,5.47E+05,17934,4815,420,10889,5548,5834,8364,46128,17150,2005,1173,784,63298,6033,7405,23743,1361,35353,38614,7921,33831,17068,92462,47915,69590,8792,22348,68925,54223,4.46E+05,11117,3303,21610,51510,1167,22395,3282,9085,293,3306,16861,47560,22126,50298,17342,2830,4559,2277,27987,56554,8896,17211,1.04E+05,14919,19457,2.45E+05,57545,5432,538,20978,6112,22289,4294,2423,1646,9157,2357,446,3454,7948,20761,9968,3277,1028,16561
190715_10:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,32.3,APOE22,N57513,N57514,22.41614255,21.36000062,22802,6321,3190,9028,5855,4186,10803,63366,41953,61955,85380,57556,16185,11484,4.87E+05,1.46E+05,21238,5325,1.15E+05,2.23E+05,68102,6750,3396,37794,1.76E+05,33169,58891,48425,64450,8798,17693,1.04E+05,1.66E+05,91045,14357,67630,2.43E+05,86254,35458,1.15E+05,38435,3.79E+05,45393,88079,16763,37452,2981,6665,49212,6278,3.97E+05,1412,1.05E+05,56604,59389,12979,8.61E+05,22270,1.07E+05,1.22E+05,3127,1.49E+05,19319,2.23E+05,1.51E+05,52264,5246,29572,68057,7627,12014,98113,17659,1558,7144,7933,15769,28101,6247,16358,1.70E+05,1.31E+05,6814,494,72560,4210,2648,4385,2.50E+05,6892,5.63E+05,19116,7233,403,11967,4258,3646,9763,46263,19830,2086,1087,920,76456,6076,10235,25421,740,30987,33071,11247,37525,18275,90571,41552,69755,6291,22469,67637,42351,4.40E+05,11885,3604,23911,46015,10872,19839,3261,7723,785,3091,15675,56016,29962,69854,10899,2504,3801,536,31089,56869,7758,17433,1.03E+05,14575,15559,2.56E+05,61029,5005,1049,16084,11197,19930,5496,2722,1701,8959,3161,870,3135,12068,15238,9414,3842,505,19009
190715_5:1,male,5/26/18,7/15/19,9/6/19,9/13/19,13.83,15.83,32,APOE22,N57552,N57553,20.22717514,17.46487726,15978,5549,4059,6454,4860,4868,17929,79290,53441,58872,71429,53621,26053,11542,4.68E+05,1.58E+05,21559,5359,1.29E+05,2.43E+05,54609,5922,1767,27408,1.66E+05,36032,77750,60483,53429,3367,12769,1.05E+05,1.55E+05,78996,11643,42425,1.06E+05,74431,39520,1.15E+05,38313,3.37E+05,20216,1.07E+05,15348,26495,7323,3201,46290,7811,3.87E+05,1186,77456,57709,55062,9111,7.09E+05,16455,96510,1.00E+05,3580,1.08E+05,24144,2.24E+05,1.66E+05,49677,5902,33616,61392,6559,8952,91880,16727,2126,8833,10965,15224,31505,7056,19712,2.01E+05,97693,5516,484,75450,3788,2971,2518,1.99E+05,3727,4.76E+05,16028,5475,313,12507,5212,5441,8397,43847,17726,1333,1016,810,69513,4304,9959,27670,973,28971,31996,13046,44871,24251,68441,40630,82838,5997,26493,77715,45915,4.28E+05,12919,3136,24118,64130,2389,22623,3119,8535,813,2337,16558,45157,20989,65578,11436,1727,3254,1205,49772,61781,5966,17328,84431,16170,16948,2.40E+05,43640,5282,1327,13743,9795,19402,5045,2594,3108,8831,3008,319,3931,12837,20715,11807,3485,816,16594
191028_7:1,male,8/26/18,10/28/19,12/3/19,12/4/19,14.27,15.5,28,APOE22,N57692,N57693,21.08230486,18.27800719,11448,3905,4971,6866,4377,9102,12387,1.15E+05,81372,57910,64069,44704,18886,17167,3.80E+05,1.99E+05,21299,8783,1.39E+05,2.83E+05,85754,16460,1778,16558,1.57E+05,31166,69212,62950,56636,2993,23559,1.33E+05,2.20E+05,1.12E+05,9530,49264,1.93E+05,76599,38837,76081,41374,3.05E+05,26753,53783,27617,38052,3746,2742,66837,9292,3.68E+05,2048,96364,52376,63599,10106,8.71E+05,10778,98344,1.81E+05,4158,1.24E+05,22707,2.19E+05,1.93E+05,42636,3243,23169,70660,8254,9397,1.00E+05,28004,1366,7657,7759,12181,31288,4923,18007,2.36E+05,1.46E+05,16227,527,77795,3091,2028,3365,2.04E+05,3506,4.81E+05,16856,6262,618,16181,5976,2957,8254,47388,21601,877,826,887,61431,6364,10616,20176,670,32484,20376,12391,49260,23288,90336,36740,89552,10507,37991,93977,36674,5.13E+05,9723,4494,26106,66557,223,25025,2428,7626,1089,4879,17277,46204,25247,72398,17555,5374,4226,1184,60961,40361,8768,14273,90332,15000,21211,2.46E+05,62221,15212,1157,10554,10369,18343,2255,2245,3476,6568,2281,388,4905,17526,21728,15446,2846,2277,8534
