"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"55","190715_10","E22","Probe_D8","M",21.36000062,13.5,0.2867,0.225,0.262882816798093,"SW"
"56","190715_5","E22","Probe_D8","M",17.46487726,25.9,0.5443,0.431666666666667,0.425068332682546,"SW"
"57","190715_6","E22","Probe_D8","M",17.72005208,32.7,0.6701,0.545,0.518212048565463,"SW"
"58","190715_7","E22","Probe_D8","F",18.42535606,36.5,0.6072,0.608333333333333,0.538775510204082,"SW"
"59","190715_8","E22","Probe_D8","F",16.2268552,25.3,0.5365,0.421666666666667,0.412185003073141,"SW"
"60","190715_9","E22","Probe_D8","M",16.62564396,18.8,0.409,0.313333333333333,0.33338767525269,"SW"
"61","210222_16","E22","Probe_D8","M",18.52169676,32.6,0.6939,0.543333333333333,0.536617430979816,"SW"
"62","210222_17","E22","Probe_D8","F",16.92387451,20.1,0.4434,0.335,0.326605774896877,"SW"
"63","210503-18","E22","Probe_D8","M",16.90386145,17.8,0.4281,0.346978557504873,0.35488684406864,"SW"
"64","210503-19","E22","Probe_D8","M",13.25988071,8.6,0.154,0.230563002680965,0.190429083714604,"SW"
"65","210503-20","E22","Probe_D8","M",19.18400168,22.9,0.4816,0.442940038684719,0.449421425905188,"SW"
"66","210503-21","E22","Probe_D8","F",17.95355691,15.8,0.3714,0.300380228136882,0.312784234461849,"SW"
"67","210503-22","E22","Probe_D8","F",17.59719336,16.9,0.3425,0.326254826254826,0.313128542695191,"SW"
"68","190715_1","E33","Probe_D8","M",14.97833585,15.3,0.3493,0.255,0.252238590410168,"SW"
"69","190715_2","E33","Probe_D8","M",16.31367683,25.4,0.5532,0.423333333333333,0.394860813704497,"SW"
"70","190715_3","E33","Probe_D8","M",18.51503263,32.9,0.6132,0.547420965058236,0.555434782608696,"SW"
"71","210201_1","E33","Probe_D8","F",20.15500079,51,0.9861,0.85,0.835465559603491,"SW"
"72","210201_2","E33","Probe_D8","F",14.47823213,31.7,0.8294,0.528333333333333,0.528684344722081,"SW"
"73","210201_3","E33","Probe_D8","F",19.9776686,33.7,0.6477,0.561666666666667,0.544560282495376,"SW"
"74","210201_4","E33","Probe_D8","F",18.20014656,33.3,0.8001,0.555,0.540717713049943,"SW"
"75","210201_5","E33","Probe_D8","F",17.63891831,22.2,0.5089,0.370617696160267,0.355302660057251,"SW"
"76","210222_10","E33","Probe_D8","F",18.90466655,30.8,0.5741,0.513333333333333,0.512360553324409,"SW"
"77","210222_11","E33","Probe_D8","F",17.5291533,31.8,0.6914,0.53,0.534766803310388,"SW"
"78","210222_12","E33","Probe_D8","F",21.28864558,33.8,0.5797,0.563333333333333,0.54132038472313,"SW"
"79","210222_13","E33","Probe_D8","M",17.32036891,29.5,0.499,0.491666666666667,0.46255098257323,"SW"
"80","210222_14","E33","Probe_D8","M",20.01730015,30.7,0.5736,0.512520868113522,0.524027041841769,"SW"
"81","210222_15","E33","Probe_D8","M",17.40783118,30.2,0.483,0.503333333333333,0.488767455980571,"SW"
"82","210222_7","E33","Probe_D8","F",17.94868785,30.9,0.6364,0.515,0.547017362901839,"SW"
"83","210222_8","E33","Probe_D8","F",20.17984269,31.6,0.7023,0.526666666666667,0.522078501338091,"SW"
