"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Test","Apparatus","Date","Duration","Distance","Mean.speed","NE.time","NE.distance","NE.averagespeed","NW.time","NW.distance","NW.averagespeed","SE.time","SE.distance","SE.averagespeed","SW.time","SW.distance","SW.averagespeed","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","Diet","NormSWTime","NormSWDist","Winding","Age.months","Age","Animal","APOE","Code","Sex","Stage","Treatment","residuals"
"1","061019_10","E44","B","F","Day1","APOE44_females",22.5,NA,NA,49.025,1.0994,0.21675,9.175,0.184375,0.21425,8.75,0.188475,0.20725,12.475,0.28655,NA,18.625,0.43995,0.20625,NA,NA,12.25,2.88825,0.24925,NA,0.376312111801242,0.357383463527805,18.1596171975,13.97,12,"061019_10","E44","B","F","Day1","APOE44_females",0.0400777728680117
"2","061019_6","E44","B","F","Day1","APOE44_females",19.5,NA,NA,60,1.085,0.18075,20.925,0.3592,0.17875,8.15,0.1541,NA,18.825,0.37445,0.2015,11.65,0.190125,NA,NA,NA,25.025,4.31775,0.179,NA,0.194166666666667,0.171810066696751,21.1126052375,13.97,12,"061019_6","E44","B","F","Day1","APOE44_females",-0.240294610250335
"3","061019_7","E44","B","F","Day1","APOE44_females",20.5,NA,NA,39.125,0.69235,0.1685,4.85,0.083425,NA,9,0.158375,NA,10.275,0.1778,NA,14.7,0.2676,0.16075,NA,NA,18.8,3.24025,0.1585,NA,0.399975509205399,0.375507959096667,14.8375574775,13.97,12,"061019_7","E44","B","F","Day1","APOE44_females",-0.067910211886635
"4","061019_8","E44","B","F","Day1","APOE44_females",21.5,NA,NA,32.575,0.633625,0.181,9.775,0.165075,NA,7.6,0.220775,NA,7.85,0.1367,NA,6.875,0.103275,NA,NA,NA,17.25,2.8945,0.162,NA,0.415777820562187,0.37265114222564,16.0660628625,13.97,12,"061019_8","E44","B","F","Day1","APOE44_females",-0.0180013248410364
"5","061019_9","E44","B","F","Day1","APOE44_females",194.5,NA,NA,60,1.068175,0.178,11.975,0.22455,NA,25.225,0.44705,0.18,6.6,0.12015,NA,16.225,0.27645,0.1665,NA,NA,25.35,3.973,0.15425,NA,0.270416666666667,0.274256538237893,27.082791165,13.97,12,"061019_9","E44","B","F","Day1","APOE44_females",-0.171548056901871
"6","061019_10","E44","B","F","Day2","APOE44_females",58.5,NA,NA,36.65,0.72055,0.18825,6.3,0.117525,NA,4.975,0.108025,NA,6.275,0.14235,NA,19.125,0.352675,0.179,NA,NA,11.2,2.074,0.18675,NA,0.627412280701754,0.592232358498239,12.6825893625,13.97,12,"061019_10","E44","B","F","Day2","APOE44_females",0.213414949198041
"7","061019_6","E44","B","F","Day2","APOE44_females",55.5,NA,NA,34.4,0.9521,0.26925,6.5,0.124975,NA,9.225,0.3357,0.39325,6.25,0.234375,NA,12.45,0.257075,0.17575,NA,NA,4.525,1.21525,NA,NA,0.360398562650867,0.224189881874386,16.91947393,13.97,12,"061019_6","E44","B","F","Day2","APOE44_females",0.167411841610648
"8","061019_7","E44","B","F","Day2","APOE44_females",56.5,NA,NA,41.65,0.690225,0.1615,7.475,0.120925,0.16575,7.5,0.126725,NA,14.75,0.25875,0.18875,11.875,0.1838,0.146,NA,NA,8.675,1.25175,0.13225,NA,0.337185654548558,0.281016052558798,16.0285681875,13.97,12,"061019_7","E44","B","F","Day2","APOE44_females",-0.149799748929211
"9","061019_8","E44","B","F","Day2","APOE44_females",57.5,NA,NA,18.7,0.3393,0.15725,1.75,0.03965,NA,3.95,0.08015,NA,6.5,0.123825,NA,6.5,0.0957,0.13325,3.20475,16.6,1.725,0.36675,NA,NA,0.494867198932171,0.358694216003784,8.2005631875,13.97,12,"061019_8","E44","B","F","Day2","APOE44_females",-0.0037144402797936
"10","061019_9","E44","B","F","Day2","APOE44_females",207.5,NA,NA,57.5,0.9865,0.1715,4.85,0.085375,NA,13.425,0.26365,NA,8.325,0.138325,0.1745,30.85,0.49915,0.1715,NA,NA,13.975,2.1845,0.1565,NA,0.537,0.5389396092476,24.6982632725,13.97,12,"061019_9","E44","B","F","Day2","APOE44_females",0.0772998570732802
"11","061019_10","E44","B","F","Day3","APOE44_females",94.5,NA,NA,22.575,0.35515,0.143,0.8,0.01655,NA,1.075,0.0205,NA,3.675,0.07335,NA,17,0.24475,0.13425,3.505,20.5,2.875,0.5255,NA,NA,0.847040977281943,0.802964249606131,10.733378235,13.97,12,"061019_10","E44","B","F","Day3","APOE44_females",0.309577841784735
"12","061019_6","E44","B","F","Day3","APOE44_females",91.5,NA,NA,9.225,0.141825,0.1495,0.225,0.0065,NA,1.4,0.0317,NA,2.25,0.04015,NA,5.3,0.06345,0.11525,1.364,7.15,0.8,0.09975,NA,NA,0.603011542028751,0.45976720592662,3.308110195,13.97,12,"061019_6","E44","B","F","Day3","APOE44_females",0.0832838258897238
"13","061019_7","E44","B","F","Day3","APOE44_females",92.5,NA,NA,10.05,0.2053,0.21225,0.825,0.013175,NA,1.425,0.07325,NA,1.95,0.033925,NA,5.85,0.08495,0.1505,2.0015,8,0,0,NA,NA,0.621153054691787,0.522933076458437,5.387062525,13.97,12,"061019_7","E44","B","F","Day3","APOE44_females",0.272640348510591
"14","061019_8","E44","B","F","Day3","APOE44_females",93.5,NA,NA,31.35,0.62025,0.201,4.825,0.092875,NA,7.625,0.1519,0.19875,7.375,0.13815,0.1915,11.525,0.23735,0.199,5.84025,29.25,1.85,0.2595,NA,NA,0.413290013271177,0.401757991860547,12.5403469175,13.97,12,"061019_8","E44","B","F","Day3","APOE44_females",0.0340813889700507
"15","061019_9","E44","B","F","Day3","APOE44_females",211.5,NA,NA,37.025,0.6702,0.17925,6.65,0.102425,NA,8.975,0.163525,NA,4.475,0.1103,NA,16.925,0.293975,0.1645,NA,NA,10.7,2.102,0.18775,NA,0.447321774573698,0.414272003487712,16.1841580125,13.97,12,"061019_9","E44","B","F","Day3","APOE44_females",0.00876770857404074
"16","061019_10","E44","B","F","Day4","APOE44_females",130.5,NA,NA,28.7,0.55305,0.163,0.95,0.023425,NA,2.2,0.059525,NA,6.85,0.13575,NA,18.725,0.334325,0.14975,5.40125,26.6,5.175,0.842,NA,NA,0.638562297595967,0.586055319155425,11.83901277,13.97,12,"061019_10","E44","B","F","Day4","APOE44_females",0.155669683200856
"17","061019_6","E44","B","F","Day4","APOE44_females",127.5,NA,NA,11.95,0.1096,0.11625,0.275,0.008575,NA,1.75,0.0397,NA,5.85,0.00935,NA,4.025,0.051975,NA,NA,NA,5.175,0,NA,NA,0.549861111111111,NA,3.7315443775,13.97,12,"061019_6","E44","B","F","Day4","APOE44_females",-0.0605900963601527
"18","061019_7","E44","B","F","Day4","APOE44_females",128.5,NA,NA,8.275,0.111625,0.12725,0.425,0.00815,NA,0.25,0.00365,NA,1.15,0.0169,NA,6.45,0.082925,0.12525,1.03375,6.25,0,0,NA,NA,0.870442838985885,0.859581691528286,4.307084325,13.97,12,"061019_7","E44","B","F","Day4","APOE44_females",0.290005418120775
"19","061019_8","E44","B","F","Day4","APOE44_females",129.5,NA,NA,4.325,0.060925,0.12775,0.3,0.00675,NA,0.75,0.022825,NA,0,0,NA,3.275,0.03135,0.09375,0.5805,2.25,0.15,0.0765,NA,NA,0.817122593718338,0.697535984933411,2.31710708,13.97,12,"061019_8","E44","B","F","Day4","APOE44_females",0.238049435880781
"20","061019_9","E44","B","F","Day4","APOE44_females",215.5,NA,NA,11.05,0.178575,0.154,1.975,0.04255,NA,1.3,0.023675,NA,2.625,0.04965,NA,5.125,0.062725,0.11875,1.7505,8.975,0,0,NA,NA,0.54811861505108,0.468878265289789,5.0157232025,13.97,12,"061019_9","E44","B","F","Day4","APOE44_females",0.0406692661600246
"21","061019_10","E44","B","F","Day5","APOE44_females",169.5,NA,NA,22.75,0.3746,0.14925,1.05,0.02225,NA,2.4,0.050025,NA,9.525,0.157725,NA,9.775,0.144575,0.13475,3.6905,20.8,0.1,0.0105,NA,NA,0.558184032884755,0.511775190894511,10.261949115,13.97,12,"061019_10","E44","B","F","Day5","APOE44_females",0.0377741852319522
"22","061019_6","E44","B","F","Day5","APOE44_females",166.5,NA,NA,17.725,0.265225,0.1475,1.25,0.0259,NA,4.775,0.07295,0.134,1.2,0.027875,NA,10.5,0.138525,0.11975,2.60925,15.4,0.375,0.07875,NA,NA,0.578844105032325,0.487602117680576,9.4384172175,13.97,12,"061019_6","E44","B","F","Day5","APOE44_females",0.0536593367830883
"23","061019_7","E44","B","F","Day5","APOE44_females",167.5,NA,NA,25.025,0.3821,0.13775,2.75,0.0409,NA,6.125,0.105675,NA,6.125,0.1175,NA,10.025,0.118,0.0955,NA,NA,3.825,0.64125,NA,NA,0.488411646832699,0.314073702512343,10.3853364525,13.97,12,"061019_7","E44","B","F","Day5","APOE44_females",-0.0633762504538096
"24","061019_8","E44","B","F","Day5","APOE44_females",168.5,NA,NA,21.6,0.268525,0.1175,0.4,0.0066,NA,8.45,0.110375,0.13075,0.8,0.013875,NA,11.95,0.1377,0.10925,2.596,19.6,0.65,0.0795,NA,NA,0.570251297895865,0.512594260582249,11.61202556,13.97,12,"061019_8","E44","B","F","Day5","APOE44_females",-0.0367892520065176
"25","061019_9","E44","B","F","Day5","APOE44_females",219.5,NA,NA,50.875,0.901675,0.17225,1.4,0.020475,NA,5.275,0.0823,0.1805,22.475,0.422025,0.19975,21.725,0.37685,0.1675,NA,NA,2.95,0.4875,NA,NA,0.408031914893617,0.398787021154499,23.1642242575,13.97,12,"061019_9","E44","B","F","Day5","APOE44_females",-0.0496218334917741
"26","061019_1","E44","A","M","Day1","APOE44_males",14.5,NA,NA,58.525,1.1111,0.1905,18,0.321675,NA,10.3,0.194525,0.44725,18.2,0.34315,0.19375,11.65,0.243975,0.19775,NA,NA,35.2,6.22325,0.18125,NA,0.208753080714726,0.208244486914466,21.3305670825,13.97,12,"061019_1","E44","A","M","Day1","APOE44_males",-0.199105067165001
"27","061019_2","E44","A","M","Day1","APOE44_males",15.5,NA,NA,56.075,1.27425,0.226,14.275,0.29745,NA,12.05,0.292025,0.267,14.875,0.336275,0.22125,14.8,0.34635,0.22325,NA,NA,24.2,4.56525,0.18875,NA,0.261174948240166,0.242058363447331,19.84668544,13.97,12,"061019_2","E44","A","M","Day1","APOE44_males",-0.0498205246833389
"28","061019_3","E44","A","M","Day1","APOE44_males",16.5,NA,NA,56.475,0.9689,0.174,18.65,0.3031,NA,16.8,0.297375,0.19325,12.375,0.2153,NA,8.4,0.151025,0.17225,NA,NA,25.95,4.069,0.16525,NA,0.170718954248366,0.152682269349569,21.62302615,13.97,12,"061019_3","E44","A","M","Day1","APOE44_males",-0.282159873540592
"29","061019_4","E44","A","M","Day1","APOE44_males",17.5,NA,NA,36.05,0.6843,0.175,5.1,0.1116,NA,8.175,0.146525,NA,9.625,0.196725,NA,13.1,0.22945,0.158,NA,NA,10.025,1.9495,NA,NA,0.451389542409739,0.394050189289068,13.97837868,13.97,12,"061019_4","E44","A","M","Day1","APOE44_males",0.00123924067588671
"30","061019_5","E44","A","M","Day1","APOE44_males",18.5,NA,NA,45.35,1.2514,0.2545,6.625,0.121075,NA,11.475,0.26525,NA,8.55,0.2566,0.272,18.725,0.607525,0.2455,NA,NA,16.225,5.09675,0.3515,NA,0.402577584452584,0.383454154990245,23.0413078725,13.97,12,"061019_5","E44","A","M","Day1","APOE44_males",0.169345104099569
"31","061019_1","E44","A","M","Day2","APOE44_males",50.5,NA,NA,27.05,0.486375,0.181,8.575,0.12255,NA,7.825,0.15655,NA,2.9,0.079675,NA,7.725,0.127625,0.13525,4.80275,25,5.7,0.9415,0.17825,NA,0.368156394881865,0.292957200376174,10.22647353,13.97,12,"061019_1","E44","A","M","Day2","APOE44_males",-0.0656227505213585
"32","061019_2","E44","A","M","Day2","APOE44_males",51.5,NA,NA,31.35,0.936775,0.30625,8.175,0.166575,NA,12.025,0.407775,NA,6.5,0.2419,1.54125,4.6,0.120525,0.24,NA,NA,9.425,2.9045,NA,NA,0.204792324102637,0.150031365083794,14.0251417325,13.97,12,"061019_2","E44","A","M","Day2","APOE44_males",0.112761067101298
"33","061019_3","E44","A","M","Day2","APOE44_males",52.5,NA,NA,33.575,0.5135,0.16575,8.925,0.119825,NA,5.575,0.1103,NA,10.45,0.159025,NA,8.625,0.12435,0.14375,NA,NA,13.025,1.588,0.174,NA,0.394610647988293,0.30633949642383,15.572084145,13.97,12,"061019_3","E44","A","M","Day2","APOE44_males",-0.0807785197552796
"34","061019_4","E44","A","M","Day2","APOE44_males",53.5,NA,NA,27.825,0.431325,0.149,2.975,0.058,NA,5,0.077275,NA,5.375,0.083925,NA,14.45,0.212075,0.137,NA,NA,5.15,0.68675,NA,NA,0.574320603105814,0.549884060058685,11.0220823775,13.97,12,"061019_4","E44","A","M","Day2","APOE44_males",0.053228623939235
"35","061019_5","E44","A","M","Day2","APOE44_males",54.5,NA,NA,38.1,0.96095,0.2255,5.825,0.1234,NA,6.375,0.2003,0.2455,15.05,0.34135,NA,10.9,0.295925,0.20275,NA,NA,10.275,2.75225,0.23575,NA,0.311810776942356,0.251727829446845,15.0685026275,13.97,12,"061019_5","E44","A","M","Day2","APOE44_males",-0.000548959008700973
